time_sec,e_x,e_y,e_z,error_norm,error_integral
0.608000,0.000007449,0.003547220,1.771637613,1.771641164,1.078055005
0.616000,0.000036106,0.003573671,1.771820494,1.771824099,1.092228866
0.624000,0.000046158,0.003554076,1.771914827,1.771918392,1.106403836
0.632000,0.000046158,0.003554076,1.771627299,1.771630865,1.120578033
0.640000,0.000096792,0.003644153,1.771170391,1.771174143,1.134749253
0.648000,0.000146290,0.003738684,1.770798279,1.770802232,1.148917159
0.656000,0.000146290,0.003738684,1.770458239,1.770462193,1.163082216
0.664000,0.000198720,0.003836271,1.770031596,1.770035764,1.177244208
0.672000,0.000260307,0.003969327,1.769784266,1.769788737,1.191403506
0.680000,0.000260307,0.003969327,1.769405800,1.769410272,1.205560302
0.688000,0.000319606,0.004093979,1.768793437,1.768798204,1.219713136
0.696000,0.000386471,0.004240831,1.768035354,1.768040482,1.233860491
0.704000,0.000421152,0.004291254,1.768100859,1.768106117,1.248005077
0.712000,0.000454430,0.004334568,1.767889343,1.767894715,1.262149081
0.720000,0.000498356,0.004399423,1.767532129,1.767537675,1.276290810
0.728000,0.000540363,0.004459595,1.767147372,1.767153082,1.290429573
0.736000,0.000579350,0.004515989,1.767246032,1.767251897,1.304567193
0.744000,0.000631033,0.004599217,1.766151769,1.766157870,1.318700832
0.752000,0.000671627,0.004657163,1.766195280,1.766201548,1.332830270
0.760000,0.000714852,0.004726175,1.765736972,1.765743442,1.346958050
0.768000,0.000757597,0.004792446,1.765241900,1.765248568,1.361082018
0.776000,0.000803707,0.004871571,1.764631810,1.764638717,1.375201567
0.784000,0.000853039,0.004948346,1.764596539,1.764603683,1.389318537
0.792000,0.000895565,0.005016410,1.763929842,1.763937202,1.403432700
0.800000,0.000949878,0.005106884,1.763124704,1.763132356,1.417540978
0.808000,0.000638330,0.004961260,1.763171420,1.763178515,1.431646222
0.816000,0.000351867,0.004851119,1.763727337,1.763734044,1.445753872
0.824000,0.000057759,0.004705375,1.763696802,1.763703080,1.459863621
0.832000,-0.000198128,0.004637880,1.763261315,1.763267426,1.473971503
0.840000,-0.000466466,0.004521691,1.763001390,1.763007250,1.488076601
0.848000,-0.000715369,0.004424629,1.762607501,1.762613200,1.502179083
0.856000,-0.000960047,0.004331592,1.763019146,1.763024728,1.516281635
0.864000,-0.001195007,0.004249437,1.762686074,1.762691601,1.530384500
0.872000,-0.001417536,0.004164496,1.762255702,1.762261193,1.544484311
0.880000,-0.001626151,0.004108805,1.761678684,1.761684226,1.558580093
0.888000,-0.001831861,0.004046776,1.761096667,1.761102270,1.572671239
0.896000,-0.002031177,0.003987860,1.761455592,1.761461277,1.586761493
0.904000,-0.002031177,0.003987860,1.760447417,1.760453105,1.600849151
0.912000,-0.002183375,0.004040482,1.759203949,1.759209944,1.614927803
0.920000,-0.002371507,0.003987678,1.758410545,1.758416666,1.628998309
0.928000,-0.002521237,0.004032195,1.757215676,1.757222111,1.643060865
0.936000,-0.002521237,0.004032195,1.757215676,1.757222111,1.657118641
0.944000,-0.002669062,0.004074881,1.755954224,1.755960980,1.671171374
