time_sec,e_x,e_y,e_z,error_norm,error_integral
0.000000,-0.000116026,0.000032070,1.961383309,1.961383313,0.000000000
0.008000,-0.000171260,0.000100943,1.961178560,1.961178570,0.015690248
0.016000,-0.000229349,0.000183637,1.960963882,1.960963905,0.031378817
0.024000,-0.000229349,0.000183637,1.960963880,1.960963902,0.047066529
0.032000,-0.000287173,0.000278879,1.960820829,1.960820870,0.062753668
0.040000,-0.000331481,0.000278590,1.960847275,1.960847322,0.078440341
0.048000,-0.000344902,-0.000062139,1.961258869,1.961258900,0.094128765
0.056000,-0.000344902,-0.000062139,1.961258869,1.961258900,0.109818837
0.064000,-0.000266223,-0.000625359,1.962067234,1.962067352,0.125512142
0.072000,-0.000266223,-0.000625359,1.962067147,1.962067264,0.141208680
0.080000,-0.000227624,-0.000895156,1.962456283,1.962456500,0.156906775
0.088000,-0.000213979,-0.001048839,1.962617100,1.962617391,0.172607071
0.096000,-0.000183971,-0.001281932,1.962938023,1.962938450,0.188309294
0.104000,-0.000155683,-0.001505399,1.963244051,1.963244635,0.204014026
0.112000,-0.000127601,-0.001720772,1.963541938,1.963542696,0.219721176
0.120000,-0.000100863,-0.001922757,1.963821217,1.963822161,0.235430635
0.128000,-0.000076088,-0.002106834,1.964071832,1.964072964,0.251142216
0.136000,-0.000050352,-0.002287065,1.964314397,1.964315729,0.266855770
0.144000,-0.000024536,-0.002469083,1.964528081,1.964529633,0.282571152
0.152000,0.000002251,-0.002631243,1.964733016,1.964734778,0.298288210
0.160000,0.000025772,-0.002766273,1.964942720,1.964944668,0.314006927
0.168000,0.000052507,-0.002905052,1.965162923,1.965165070,0.329727366
0.176000,0.000052507,-0.002905052,1.965162923,1.965165070,0.345448687
0.184000,0.000046885,-0.002935042,1.965162441,1.965164633,0.361170006
0.192000,0.000066982,-0.003044786,1.965326457,1.965328817,0.376891979
0.200000,0.000102547,-0.003225417,1.965581995,1.965584644,0.392615633
0.208000,0.000102547,-0.003225417,1.965574273,1.965576922,0.408340280
0.216000,0.000122083,-0.003326882,1.965686736,1.965689555,0.424065345
0.224000,0.000140692,-0.003406559,1.965863588,1.965866545,0.439791570
0.232000,0.000160439,-0.003482576,1.966046454,1.966049545,0.455519234
0.240000,0.000147070,-0.003450733,1.965995203,1.965998237,0.471247425
0.248000,0.000166301,-0.003505068,1.966131215,1.966134347,0.486975956
0.256000,0.000166301,-0.003505068,1.966131215,1.966134347,0.502705030
0.264000,0.000156659,-0.003468840,1.966067271,1.966070337,0.518433849
0.272000,0.000143225,-0.003421265,1.965974352,1.965977334,0.534162040
0.280000,0.000157785,-0.003466285,1.966063222,1.966066284,0.549890214
0.288000,0.000157785,-0.003466285,1.966036021,1.966039083,0.565618636
0.296000,0.000139728,-0.003403394,1.965944681,1.965947632,0.581346583
0.304000,0.000150863,-0.003409376,1.965987194,1.965990156,0.597074334
0.312000,0.000138687,-0.003331683,1.965845347,1.965848176,0.612801687
0.320000,0.000138687,-0.003331683,1.965805645,1.965808474,0.628528314
0.328000,0.000125670,-0.003211551,1.965603543,1.965606171,0.644253972
0.336000,0.000125670,-0.003211551,1.965603543,1.965606171,0.659978822
0.344000,0.000134068,-0.003161056,1.965466281,1.965468828,0.675703122
0.352000,0.000134068,-0.003161056,1.965466281,1.965468828,0.691426872
0.360000,0.000139458,-0.003137294,1.965428031,1.965430540,0.707150470
0.368000,0.000145955,-0.003107789,1.965383924,1.965386387,0.722873737
0.376000,0.000154598,-0.003068589,1.965387866,1.965390267,0.738596844
0.384000,0.000167290,-0.003031103,1.965315696,1.965318040,0.754319677
0.392000,0.000180774,-0.002918302,1.965182978,1.965185153,0.770041690
