time_sec,e_x,e_y,e_z,error_norm,error_integral
0.608000,0.036127007,-0.001505832,-0.763893425,0.764748713,0.722414217
0.616000,0.036931628,-0.002061684,-0.760030031,0.760929592,0.728516930
0.624000,0.039560845,-0.002727315,-0.751207650,0.752253569,0.734569663
0.632000,0.039560845,-0.002727315,-0.751207650,0.752253569,0.740587691
0.640000,0.042162603,-0.003410170,-0.743101120,0.744304097,0.746573922
0.648000,0.044874286,-0.004116931,-0.734741628,0.736122212,0.752495627
0.656000,0.047788465,-0.004857099,-0.725188673,0.726777779,0.758347227
0.664000,0.047788465,-0.004857099,-0.725188673,0.726777779,0.764161450
0.672000,0.050674362,-0.005611438,-0.715025604,0.716840982,0.769935925
0.680000,0.050674362,-0.005611438,-0.715025604,0.716840982,0.775670652
0.688000,0.053624542,-0.006387349,-0.703767598,0.705836540,0.781361363
0.696000,0.056703227,-0.007189174,-0.690923929,0.693284080,0.786957845
0.704000,0.056703227,-0.007189174,-0.690923929,0.693284080,0.792504118
0.712000,0.059963094,-0.008020818,-0.676009953,0.678711546,0.797992100
0.720000,0.063426184,-0.008889577,-0.659035444,0.662140183,0.803355507
0.728000,0.065252388,-0.009557453,-0.648935020,0.652277456,0.808613178
0.736000,0.068585249,-0.010422682,-0.632498324,0.636291363,0.813767453
0.744000,0.068585249,-0.010422682,-0.632498324,0.636291363,0.818857784
0.752000,0.072003232,-0.011314811,-0.616623580,0.620916363,0.823886615
0.760000,0.072003232,-0.011314811,-0.616623580,0.620916363,0.828853946
0.768000,0.075351195,-0.012211956,-0.602153957,0.606973082,0.833765503
0.776000,0.078883188,-0.013152437,-0.588255286,0.593666426,0.838568061
0.784000,0.080855558,-0.013863790,-0.580529928,0.586297555,0.843287917
0.792000,0.080855558,-0.013863790,-0.580529928,0.586297555,0.847978298
0.800000,0.084209489,-0.014802839,-0.569239795,0.575625144,0.852625989
0.808000,0.087677034,-0.015778677,-0.558907807,0.565963042,0.857192341
0.816000,0.087677034,-0.015778677,-0.558907807,0.565963042,0.861720046
0.824000,0.090979198,-0.016742712,-0.550260127,0.557981845,0.866215825
0.832000,0.094420793,-0.017752134,-0.542568624,0.551009198,0.870651789
0.840000,0.094420793,-0.017752134,-0.542568624,0.551009198,0.875059863
0.848000,0.097698944,-0.018748070,-0.536443591,0.545589864,0.879446259
0.856000,0.101023370,-0.019768159,-0.531209409,0.541091432,0.883792984
0.864000,0.104643630,-0.020856281,-0.525418997,0.536144007,0.888101926
0.872000,0.104643630,-0.020856281,-0.525418997,0.536144007,0.892391078
0.880000,0.108319866,-0.021958335,-0.518793046,0.530435281,0.896657395
0.888000,0.108319866,-0.021958335,-0.518793046,0.530435281,0.900900878
0.896000,0.112141931,-0.023253326,-0.510340691,0.523033604,0.905114753
0.904000,0.116206164,-0.024592287,-0.500056386,0.513969885,0.909262767
0.912000,0.120407188,-0.025958913,-0.488088965,0.503391095,0.913332211
0.920000,0.120407188,-0.025958913,-0.488088965,0.503391095,0.917359340
0.928000,0.124457175,-0.027291610,-0.475155711,0.491942446,0.921340674
0.936000,0.128836224,-0.028692895,-0.460152984,0.478709539,0.925223282
0.944000,0.128836224,-0.028692895,-0.460152984,0.478709539,0.929052958
0.952000,0.133723551,-0.030205849,-0.443479300,0.464185599,0.932824539
0.960000,0.136366213,-0.031214976,-0.433912873,0.455906241,0.936504906
0.968000,0.136366213,-0.031214976,-0.433912873,0.455906241,0.940152156
0.980000,0.140990609,-0.032659526,-0.418732285,0.443036932,0.945545815
0.984000,0.145615170,-0.034111614,-0.404443979,0.431210288,0.947294310
0.992000,0.145615170,-0.034111614,-0.404443979,0.431210288,0.950743992
1.000000,0.150187219,-0.035562649,-0.391410351,0.420740972,0.954151797
1.008000,0.154854158,-0.037050034,-0.379342437,0.411403937,0.957480377
1.016000,0.159700761,-0.038596387,-0.368075609,0.403080225,0.960738313
1.024000,0.159700761,-0.038596387,-0.368075609,0.403080225,0.963962955
1.032000,0.164314413,-0.040101002,-0.358432293,0.396334487,0.967160614
1.040000,0.164314413,-0.040101002,-0.358432293,0.396334487,0.970331290
1.048000,0.169227088,-0.041699543,-0.349396110,0.390453967,0.973478444
1.056000,0.173903311,-0.043260499,-0.341989517,0.386096700,0.976584646
1.064000,0.179572115,-0.045108090,-0.334755063,0.382546515,0.979659219
1.072000,0.179572115,-0.045108090,-0.334755063,0.382546515,0.982719591
1.080000,0.182711521,-0.046289577,-0.331294060,0.381158732,0.985774412
1.088000,0.185848663,-0.047475889,-0.328429580,0.380341523,0.988820413
1.096000,0.188756282,-0.048600356,-0.326201797,0.379998080,0.991861772
1.104000,0.192339042,-0.049906763,-0.323905110,0.379999359,0.994901761
1.112000,0.195402795,-0.051049094,-0.321871161,0.379985930,0.997941703
1.120000,0.198566848,-0.052192352,-0.319527388,0.379803352,1.000980860
1.128000,0.204211632,-0.053947623,-0.314740181,0.379043689,1.004016248
1.136000,0.207455674,-0.055034238,-0.311187744,0.378027031,1.007044531
1.144000,0.213596979,-0.056808899,-0.303707600,0.375618459,1.010059113
1.152000,0.213596979,-0.056808899,-0.303707600,0.375618459,1.013064060
1.160000,0.219804699,-0.058552607,-0.294686556,0.372266947,1.016055602
1.168000,0.219804699,-0.058552607,-0.294686556,0.372266947,1.019033738
1.176000,0.225759322,-0.060192908,-0.284684181,0.368287307,1.021995955
1.184000,0.232090468,-0.061873659,-0.272779703,0.363459903,1.024922943
1.192000,0.238490859,-0.063516653,-0.259832859,0.358364856,1.027810242
1.200000,0.238490859,-0.063516653,-0.259832859,0.358364856,1.030677161
1.208000,0.245755175,-0.065294637,-0.244563103,0.352803213,1.033521834
1.216000,0.245755175,-0.065294637,-0.244563103,0.352803213,1.036344259
1.224000,0.258368621,-0.068365260,-0.218522668,0.345225013,1.039136372
1.232000,0.258368621,-0.068365260,-0.218522668,0.345225013,1.041898172
1.240000,0.263213405,-0.069585010,-0.209150672,0.343318182,1.044652345
1.248000,0.268122116,-0.070819921,-0.200215459,0.342039706,1.047393777
1.256000,0.273355732,-0.072130433,-0.191320181,0.341364273,1.050127392
1.264000,0.283623645,-0.074720471,-0.175373554,0.341732943,1.052859781
1.272000,0.283623645,-0.074720471,-0.175373554,0.341732943,1.055593645
1.280000,0.293232361,-0.077185153,-0.162358284,0.343951999,1.058336385
1.288000,0.293232361,-0.077185153,-0.162358284,0.343951999,1.061088001
1.296000,0.297212848,-0.078227534,-0.158017278,0.345578478,1.063846123
1.304000,0.301433811,-0.079333901,-0.153974175,0.347655371,1.066619058
1.312000,0.305353681,-0.080375894,-0.150500059,0.349787682,1.069408830
1.320000,0.309313009,-0.081434525,-0.147189140,0.352094820,1.072216360
1.328000,0.315624485,-0.083067252,-0.142095208,0.355963526,1.075048594
1.336000,0.315624485,-0.083067252,-0.142095208,0.355963526,1.077896302
1.344000,0.321853468,-0.084695264,-0.137647510,0.360152439,1.080760766
1.352000,0.328635076,-0.086481727,-0.133025050,0.364932550,1.083661106
1.360000,0.332727024,-0.087613731,-0.130166769,0.367867947,1.086592308
1.368000,0.336794743,-0.088745347,-0.126987696,0.370718641,1.089546654
1.376000,0.340339432,-0.089748873,-0.123643875,0.373059776,1.092521768
1.384000,0.343892852,-0.090760513,-0.119673848,0.375262034,1.095515055
1.392000,0.347283581,-0.091737165,-0.115162253,0.377205432,1.098524925
1.400000,0.347283581,-0.091737165,-0.115162253,0.377205432,1.101542568
1.408000,0.352814654,-0.093284330,-0.106663823,0.380206940,1.104572218
1.416000,0.357878188,-0.094721823,-0.097403526,0.382800820,1.107624249
1.424000,0.357878188,-0.094721823,-0.097403526,0.382800820,1.110686655
1.432000,0.362752447,-0.096126250,-0.087079048,0.385243240,1.113758831
1.440000,0.367376039,-0.097480363,-0.076899409,0.387790013,1.116850964
1.448000,0.372334728,-0.098945177,-0.066468477,0.390949301,1.119965922
1.456000,0.372334728,-0.098945177,-0.066468477,0.390949301,1.123093516
1.464000,0.377045820,-0.100361168,-0.057429552,0.394378077,1.126234826
1.472000,0.381804595,-0.101816497,-0.049390435,0.398222002,1.129405226
1.480000,0.381804595,-0.101816497,-0.049390435,0.398222002,1.132591002
1.488000,0.386899153,-0.103396832,-0.042108893,0.402684763,1.135794629
1.496000,0.386899153,-0.103396832,-0.042108893,0.402684763,1.139016107
1.504000,0.391663888,-0.104906499,-0.036494732,0.407109126,1.142255283
1.512000,0.396405140,-0.106431118,-0.032011509,0.411690848,1.145530483
1.520000,0.396405140,-0.106431118,-0.032011509,0.411690848,1.148824009
1.528000,0.401315549,-0.108034357,-0.028458118,0.416575872,1.152137076
1.536000,0.406343916,-0.109710380,-0.025917172,0.421691173,1.155490144
1.544000,0.409156779,-0.110704429,-0.024632692,0.424583925,1.158875245
1.552000,0.414037326,-0.112411893,-0.021981955,0.429588812,1.162291936
1.560000,0.414037326,-0.112411893,-0.021981955,0.429588812,1.165728646
1.568000,0.416723231,-0.113418280,-0.020105362,0.432349607,1.169176400
1.576000,0.421363154,-0.115140840,-0.016073227,0.437107160,1.172654227
1.584000,0.424251029,-0.116285629,-0.012790442,0.440085081,1.176162996
1.592000,0.426915118,-0.117382578,-0.009091496,0.442851943,1.179694744
1.608000,0.433319161,-0.120109051,0.001887083,0.449661250,1.186834850
1.608000,0.433319161,-0.120109051,0.001887083,0.449661250,1.186834850
1.616000,0.435673038,-0.121188915,0.007118583,0.452270299,1.190442576
1.624000,0.435673038,-0.121188915,0.007118583,0.452270299,1.194060738
1.632000,0.439346025,-0.122855692,0.016167760,0.456486415,1.197695765
1.640000,0.439346025,-0.122855692,0.016167760,0.456486415,1.201347656
1.648000,0.445083449,-0.125587135,0.034152269,0.463721665,1.205028489
1.656000,0.445083449,-0.125587135,0.034152269,0.463721665,1.208738262
1.664000,0.447120914,-0.126609280,0.041590333,0.466558440,1.212459382
1.672000,0.450441787,-0.128226086,0.052922010,0.471317803,1.216210887
1.680000,0.452533314,-0.129294797,0.059947848,0.474444190,1.219993935
1.688000,0.454627166,-0.130369484,0.066501141,0.477602830,1.223802124
1.696000,0.454627166,-0.130369484,0.066501141,0.477602830,1.227622946
1.704000,0.461730758,-0.131933331,0.079052687,0.486673426,1.231480051
1.712000,0.461730758,-0.131933331,0.079052687,0.486673426,1.235373439
1.720000,0.466134677,-0.133172630,0.085548997,0.492275449,1.239289234
1.728000,0.468961427,-0.133690640,0.088450193,0.495602102,1.243240744
1.736000,0.471772144,-0.134227439,0.091130733,0.498889538,1.247218711
1.744000,0.471772144,-0.134227439,0.091130733,0.498889538,1.251209827
1.752000,0.475617895,-0.135331764,0.095144868,0.503566891,1.255219653
1.760000,0.479419092,-0.136518627,0.099491119,0.508309437,1.259267158
1.768000,0.479419092,-0.136518627,0.099491119,0.508309437,1.263333634
1.776000,0.483005086,-0.137703254,0.104281783,0.512962756,1.267418722
1.784000,0.486169616,-0.138771742,0.109303355,0.517267547,1.271539644
1.792000,0.486169616,-0.138771742,0.109303355,0.517267547,1.275677784
1.800000,0.489123562,-0.139837011,0.114888549,0.521532000,1.279832982
1.808000,0.492041240,-0.140990733,0.121012330,0.525953375,1.284022924
1.816000,0.494744847,-0.142083584,0.126466990,0.530051042,1.288246941
1.824000,0.494744847,-0.142083584,0.126466990,0.530051042,1.292487350
1.832000,0.497415015,-0.143206193,0.131039858,0.533948645,1.296743348
1.840000,0.497415015,-0.143206193,0.131039858,0.533948645,1.301014938
1.848000,0.500031838,-0.144347130,0.134491324,0.537546137,1.305300917
1.856000,0.502710590,-0.145589798,0.136855006,0.540965451,1.309614963
1.864000,0.502710590,-0.145589798,0.136855006,0.540965451,1.313942687
1.872000,0.505279789,-0.146800845,0.137873173,0.543936729,1.318282295
1.880000,0.507962296,-0.148154467,0.137597799,0.546725337,1.322644944
1.888000,0.509828517,-0.148900404,0.136686921,0.548433917,1.327025581
1.896000,0.511600921,-0.149608015,0.135398149,0.549955198,1.331419137
1.904000,0.511600921,-0.149608015,0.135398149,0.549955198,1.335818779
1.912000,0.513971576,-0.150878399,0.132971764,0.551917170,1.340226268
1.920000,0.516318986,-0.152259409,0.130520344,0.553898712,1.344649532
1.928000,0.517848739,-0.152998566,0.129407883,0.555267754,1.349086198
1.936000,0.519289920,-0.153754859,0.128972054,0.556719291,1.353534146
1.944000,0.520592341,-0.154487654,0.129280448,0.558208075,1.357993855
1.952000,0.521673331,-0.155079900,0.130254030,0.559606069,1.362465112
1.960000,0.522690186,-0.155747398,0.132153153,0.561183338,1.366948269
1.968000,0.523531208,-0.156314402,0.134705067,0.562729573,1.371443921
1.976000,0.524247536,-0.156860619,0.138143420,0.564379604,1.375952358
1.984000,0.524838397,-0.157361119,0.142216206,0.566077127,1.380474185
1.992000,0.525322149,-0.157824292,0.146910667,0.567850870,1.385009897
2.000000,0.525715003,-0.158262520,0.152183294,0.569721901,1.389560188
2.008000,0.526031503,-0.158654555,0.157640934,0.571603949,1.394125491
2.016000,0.526031503,-0.158654555,0.157640934,0.571603949,1.398698323
2.024000,0.526253710,-0.159412845,0.166129828,0.574416697,1.403282405
2.032000,0.526411006,-0.160267799,0.174850822,0.577379533,1.407889590
2.040000,0.526607880,-0.160726904,0.179970860,0.579256858,1.412516136
2.048000,0.526795695,-0.161191463,0.184522152,0.580986072,1.417157108
2.056000,0.526980409,-0.161620974,0.188281894,0.582477264,1.421810961
2.064000,0.526980409,-0.161620974,0.188281894,0.582477264,1.426470779
2.072000,0.527069816,-0.162574439,0.193531036,0.584540248,1.431138849
2.080000,0.527193556,-0.163182362,0.196679950,0.585870746,1.435820493
2.088000,0.528405378,-0.163487374,0.200450897,0.588320429,1.440517258
2.096000,0.528405378,-0.163487374,0.200450897,0.588320429,1.445223821
2.104000,0.529462228,-0.163271680,0.201618910,0.589608410,1.449935537
2.112000,0.530491421,-0.163060784,0.202493191,0.590773611,1.454657065
2.120000,0.531495878,-0.162853136,0.203080058,0.591819671,1.459387438
2.128000,0.532452593,-0.162693932,0.203633785,0.592825267,1.464126018
2.136000,0.533328423,-0.162654846,0.204494953,0.593897291,1.468872908
2.144000,0.534183571,-0.162501454,0.205429673,0.594945511,1.473628279
2.152000,0.535766790,-0.162144958,0.208911061,0.597478763,1.478397976
2.160000,0.536495993,-0.161944001,0.210960150,0.598797123,1.483183080
2.168000,0.536495993,-0.161944001,0.210960150,0.598797123,1.487973457
2.176000,0.537177512,-0.161752506,0.213361740,0.600205619,1.492769468
2.184000,0.537611255,-0.161895394,0.218154669,0.602351592,1.497579696
2.192000,0.538205037,-0.161670475,0.221375585,0.603994333,1.502405080
2.200000,0.538205037,-0.161670475,0.221375585,0.603994333,1.507237035
2.208000,0.538537452,-0.161762088,0.227197647,0.606472037,1.512078900
2.216000,0.538826892,-0.161830871,0.233278513,0.609050503,1.516940990
2.224000,0.539236078,-0.161716431,0.237501979,0.611011409,1.521821238
2.232000,0.539680013,-0.161548509,0.240791559,0.612644279,1.526715861
2.240000,0.540109644,-0.161395534,0.243610978,0.614095477,1.531622820
2.248000,0.540514121,-0.161272555,0.245990157,0.615366159,1.536540666
2.256000,0.540514121,-0.161272555,0.245990157,0.615366159,1.541463596
2.264000,0.540679285,-0.161467551,0.248746991,0.616669219,1.546391737
2.272000,0.541074941,-0.161345377,0.249780774,0.617401699,1.551328021
2.280000,0.541209647,-0.161546364,0.251252651,0.618169075,1.556270304
2.288000,0.541354368,-0.161695465,0.252308249,0.618764436,1.561218038
2.296000,0.541354368,-0.161695465,0.252308249,0.618764436,1.566168153
2.304000,0.541440317,-0.161888748,0.252877116,0.619122298,1.571119700
2.312000,0.541440317,-0.161888748,0.252877116,0.619122298,1.576072679
2.320000,0.541489134,-0.162107303,0.252851129,0.619211557,1.581026014
2.328000,0.541559407,-0.162266760,0.252618670,0.619219901,1.585979740
