time_sec,e_x,e_y,e_z,error_norm,error_integral
0.600000,0.017604169,0.007927063,-0.518466771,0.518826115,0.718194876
0.608000,0.018161934,0.007295997,-0.494311929,0.494699273,0.722248978
0.616000,0.018811125,0.006634138,-0.468427777,0.468852272,0.726103184
0.624000,0.019236654,0.006029368,-0.447375298,0.447829274,0.729769910
0.632000,0.019780621,0.005390170,-0.423985839,0.424481235,0.733259152
0.640000,0.020365059,0.004738512,-0.399884343,0.400430614,0.736558800
0.648000,0.021083940,0.004043239,-0.372960806,0.373578162,0.739654835
0.656000,0.021606561,0.003409127,-0.350375175,0.351057302,0.742553377
0.664000,0.022163954,0.002764666,-0.327285528,0.328046797,0.745269793
0.672000,0.022723332,0.002120692,-0.304411292,0.305265592,0.747803043
0.680000,0.022723332,0.002120692,-0.304411292,0.305265592,0.750245167
0.688000,0.023940273,0.001243146,-0.267575383,0.268647106,0.752540818
0.696000,0.024616271,0.000551363,-0.242618084,0.243864305,0.754590864
0.704000,0.025938921,-0.000832168,-0.194089890,0.195817275,0.756349590
0.712000,0.025938921,-0.000832168,-0.194089890,0.195817275,0.757916128
0.720000,0.026598632,-0.001526861,-0.170189261,0.172262019,0.759388446
0.728000,0.027940679,-0.002933299,-0.122299314,0.125484692,0.760579432
0.736000,0.027940679,-0.002933299,-0.122299314,0.125484692,0.761583310
0.744000,0.028636396,-0.003651638,-0.097985625,0.102149696,0.762493847
0.752000,0.029287536,-0.004352421,-0.074734330,0.080386090,0.763223991
0.760000,0.029943146,-0.005057137,-0.051512003,0.059796765,0.763784722
0.768000,0.031129781,-0.006031489,-0.016226411,0.035619356,0.764166387
0.776000,0.031129781,-0.006031489,-0.016226411,0.035619356,0.764451341
0.784000,0.032275796,-0.007001748,0.018111110,0.037666481,0.764744485
0.792000,0.033443842,-0.008003160,0.052940726,0.063128929,0.765147666
0.800000,0.034575894,-0.009009402,0.086955071,0.094009819,0.765776221
0.808000,0.034575894,-0.009009402,0.086955071,0.094009819,0.766528300
0.816000,0.035729878,-0.010057969,0.121529102,0.127071278,0.767412624
0.824000,0.035729878,-0.010057969,0.121529102,0.127071278,0.768429195
0.832000,0.036769558,-0.011062328,0.153458238,0.158189147,0.769570236
0.840000,0.037841696,-0.012108700,0.186280966,0.190471029,0.770964877
0.848000,0.037841696,-0.012108700,0.186280966,0.190471029,0.772488645
0.856000,0.038975239,-0.013224600,0.220859528,0.224661724,0.774149176
0.864000,0.040037084,-0.014321236,0.253883958,0.257420143,0.776077504
0.872000,0.041231126,-0.015542878,0.290391564,0.293715589,0.778282047
0.880000,0.041231126,-0.015542878,0.290391564,0.293715589,0.780631771
0.888000,0.041866839,-0.016375037,0.312899828,0.316112759,0.783071085
0.896000,0.042499848,-0.017215172,0.335338712,0.338459231,0.785689373
0.904000,0.043727916,-0.018901819,0.379319310,0.382299030,0.788572406
0.912000,0.043727916,-0.018901819,0.379319310,0.382299030,0.791630798
0.920000,0.044275928,-0.019710166,0.399668932,0.402596701,0.794770381
